categoria,archivo,nombre_visible,url
Informativas,Informativas\Cambio Moneda.png,Cambio Moneda,https://practicatest.co/static/img/co/temario/senales_informativas/si32_cambio_moneda.png
Informativas,Informativas\Zona Camping.png,Zona Camping,https://practicatest.co/static/img/co/temario/senales_informativas/si33_zona_camping.png
Informativas,Informativas\Playa.png,Playa,https://practicatest.co/static/img/co/temario/senales_informativas/si34_playa.png
Informativas,Informativas\Museo.png,Museo,https://practicatest.co/static/img/co/temario/senales_informativas/si35_museo.png
Informativas,Informativas\Muelle.png,Muelle,https://practicatest.co/static/img/co/temario/senales_informativas/si36_muelle.png
Informativas,Informativas\Zoologico.png,Zoologico,https://practicatest.co/static/img/co/temario/senales_informativas/si37_zoologico.png
Informativas,Informativas\Informacion Turistica.png,Informacion Turistica,https://practicatest.co/static/img/co/temario/senales_informativas/si38_informacion_turistica.png
Informativas,Informativas\Artesanias.png,Artesanias,https://practicatest.co/static/img/co/temario/senales_informativas/si39_artesanias.png
Informativas,Informativas\Bienes Arqueologicos.png,Bienes Arqueologicos,https://practicatest.co/static/img/co/temario/senales_informativas/si40_bienes_arqueologicos.png
Informativas,Informativas\Lago.png,Lago,https://practicatest.co/static/img/co/temario/senales_informativas/si41_lago.png
Informativas,Informativas\Polideportivo.png,Polideportivo,https://practicatest.co/static/img/co/temario/senales_informativas/si42_polideportivo.png
Informativas,Informativas\Mirador.png,Mirador,https://practicatest.co/static/img/co/temario/senales_informativas/si43_mirador.png
Informativas,Informativas\Alquiler Autos.png,Alquiler Autos,https://practicatest.co/static/img/co/temario/senales_informativas/si44_alquiler_autos.png
Informativas,Informativas\Atractivo Natural.png,Atractivo Natural,https://practicatest.co/static/img/co/temario/senales_informativas/si45_atractivo_natural.png
Informativas,Informativas\Volcan.png,Volcan,https://practicatest.co/static/img/co/temario/senales_informativas/si46_volcan.png
Informativas,Informativas\Nevado.png,Nevado,https://practicatest.co/static/img/co/temario/senales_informativas/si47_nevado.png
Informativas,Informativas\Termal.png,Termal,https://practicatest.co/static/img/co/temario/senales_informativas/si48_termal.png
Informativas,Informativas\Cascada.png,Cascada,https://practicatest.co/static/img/co/temario/senales_informativas/si49_cascada.png
Informativas,Informativas\Pesca.png,Pesca,https://practicatest.co/static/img/co/temario/senales_informativas/si50_pesca.png
